,List_Of_Methods,Mean,NumSelected,RelIndexs,STD
AA_Methionine.2tms,"['VIP', 'PIMP', 'Vita']",31.333333333333332,3,"[25, 34, 35]",4.4969125210773475
RP_C0741,"['VIP', 'PIMP', 'Vita']",11.333333333333334,3,"[10, 13, 11]",1.247219128924647
RP_C0923,"['VIP', 'PIMP', 'Vita']",63.666666666666664,3,"[94, 46, 51]",21.545816814923082
RP_C0894,"['VIP', 'PIMP', 'Vita']",31.333333333333332,3,"[57, 18, 19]",18.153665072253467
RP_C0845,"['VIP', 'PIMP', 'Vita']",43.333333333333336,3,"[36, 57, 37]",9.672412085697939
RP_C0825,"['VIP', 'PIMP', 'Vita']",89.66666666666667,3,"[86, 113, 70]",17.745108872274887
RP_C0812,"['VIP', 'PIMP', 'Vita']",128.66666666666666,3,"[70, 165, 151]",41.875476780038646
RP_C0748,"['VIP', 'PIMP', 'Vita']",119.33333333333333,3,"[141, 131, 86]",23.921166824012207
RP_C0693,"['VIP', 'PIMP', 'Vita']",62.0,3,"[37, 94, 55]",23.790754506740637
RP_C1008,"['VIP', 'PIMP', 'Vita']",79.0,3,"[85, 77, 75]",4.320493798938574
RP_C0691,"['VIP', 'PIMP', 'Vita']",150.33333333333334,3,"[114, 182, 155]",27.956315128349008
RP_C0686,"['VIP', 'PIMP', 'Vita']",60.666666666666664,3,"[81, 61, 40]",16.73983937265296
RP_C0600,"['VIP', 'PIMP', 'Vita']",42.666666666666664,3,"[38, 54, 36]",8.055363982396381
RP_C0599,"['VIP', 'PIMP', 'Vita']",38.666666666666664,3,"[25, 48, 43]",9.877021593352701
RP_C0561,"['VIP', 'PIMP', 'Vita']",145.33333333333334,3,"[161, 169, 106]",28.003967972810962
RP_C0560,"['VIP', 'PIMP', 'Vita']",26.666666666666668,3,"[21, 32, 27]",4.496912521077347
RP_C0930,"['VIP', 'PIMP', 'Vita']",61.0,3,"[31, 53, 99]",28.331372481167705
RP_C1011,"['VIP', 'PIMP', 'Vita']",86.0,3,"[60, 101, 97]",18.457157599876172
RP_C0481,"['VIP', 'PIMP', 'Vita']",83.66666666666667,3,"[30, 126, 95]",40.00277768133386
RP_C1161,"['VIP', 'PIMP', 'Vita']",109.0,3,"[100, 138, 89]",20.992061991778385
