file,name,number,MST,time,rep,order,alanine.2tms,Glycine.2tms,X2.aminobutyric.acid.2tms,valine.2tms,leucine.2tms,isoleucine.2tms,Threonine.2tms,Proline.2tms,aspartic.acid.2tms,Glutamine..pyroglutamic.acid.2tms.,Methionine.2tms,serine.3tms,Threonine.3tms,Phenylalanine.2tms,aspartic.acid.3tms,glutamic.acid.3tms,lysine.3tms,arginine.3tms.,histidine.3tms,tyrosine.3tms
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__058,1-Synechocystis_6803-cell-5a-1,1,5a,-2,1,58,1898550368,989079486.1,15291805.56,1088666910,1103963375,732937006.9,27086763.89,496734006.9,36174236.11,226945256.9,131743680.6,1160022542,668011020.8,886003847.2,2140980313,1776348333,972749006.9,566247597.2,451223291.7,952755291.7
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__045,2-Synechocystis_6803-cell-5a-2,2,5a,-2,2,45,1693817107,831134641.2,25324572.52,981814717.6,1022052908,672511618.3,26480572.52,392322961.8,45402061.07,250324603.1,216435259.5,878085572.5,385776183.2,759278297.7,1849574084,1611274435,796352839.7,423323374,361352320.6,835998648.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__018,3-Synechocystis_6803-cell-5a-3,3,5a,-2,3,18,1702092432,844618416.7,26091553.03,904364090.9,1043148689,607082590.9,40816386.36,401694128.8,39966818.18,173665697,111289045.5,938466189.4,289989515.2,720888734.8,1852035212,1521564386,772020128.8,448655795.5,374837947,828332947
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__039,4-Synechocystis_6803-cell-6a-1,4,6a,-1,1,39,2001255008,1088906177,8127138.462,1142711062,1168554354,770809100,36642061.54,503508192.3,47609338.46,206061284.6,148339569.2,1261200362,569862523.1,897889538.5,2208792331,1764236531,976536338.5,567886946.2,468894446.2,1000267523
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__023,5-Synechocystis_6803-cell-6a-2,5,6a,-1,2,23,1696525746,914538612.7,5701126.761,980979767.6,1075705493,675890549.3,39154000,424016535.2,28214260.56,104202331,134249133.8,1136810746,418812478.9,797296014.1,2011810268,1693978979,866908915.5,538852676.1,424380711.3,887801929.6
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__013,6-Synechocystis_6803-cell-6a-3,6,6a,-1,3,13,1938079377,963079852.5,22276877.05,1048519885,1159144344,704191475.4,38976713.11,454421139.3,50184500,129851918,106469393.4,1111369451,317772639.3,828633893.4,2138853148,1601631172,902379959,529614606.6,439829541,949122163.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__033,7-Synechocystis_6803-cell-630a-1,7,630a,-0.5,1,33,1663203741,811103870.7,26106489.8,887769088.4,945734551,599633278.9,29757870.75,382330551,39746081.63,108633693.9,82735278.91,852511564.6,386077863.9,707181904.8,1735409544,1469222265,735893523.8,390010068,357627292.5,772242591.8
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__047,8-Synechocystis_6803-cell-630a-2,8,630a,-0.5,2,47,1827730000,972801185.2,10177762.96,1076368089,1165936667,724524244.4,33942518.52,461803437,47431162.96,186638059.3,149810807.4,1086784133,562470748.1,855833777.8,2123438437,1633161533,915949192.6,475865259.3,422203570.4,941293837
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__006,9-Synechocystis_6803-cell-630a-3,9,630a,-0.5,3,6,1744216171,861600902.4,30521439.02,921958130.1,1026456862,615907170.7,39800821.14,378884032.5,39385455.28,202198609.8,101074609.8,849851504.1,199226260.2,712831382.1,1800492732,1533268179,745143243.9,411546674.8,363487918.7,834600268.3
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__061,10-Synechocystis_6803-cell-7a-1,10,7a,0,1,61,1779795650,885220139.9,30055104.9,966890874.1,1023646462,668134090.9,24025482.52,410003524.5,41790258.74,131352615.4,124032643.4,875588055.9,477871839.2,771260258.7,1822982196,1658210497,813465657.3,406753447.6,382478895.1,856242860.1
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__069,11-Synechocystis_6803-cell-7a-2,11,7a,0,2,69,1996864066,977155090.2,19908040.98,1152922541,1160624049,762086549.2,19890270.49,470214008.2,49927106.56,379502254.1,171211041,840134975.4,536061737.7,880582614.8,2104255131,1674288828,933365123,491364147.5,432097647.5,871165368.9
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__017,12-Synechocystis_6803-cell-7a-3,12,7a,0,3,17,1468671007,719714881.6,28816263.16,834127289.5,847801230.3,564429375,25659986.84,319791078.9,34674315.79,285031572.4,127324296.1,605232585.5,185348473.7,626302105.3,378628881.6,1168613697,656874500,357542473.7,316352348.7,674521342.1
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__009,13-Synechocystis_6803-cell-730a-1,13,730a,0.5,1,9,1549437872,777275113.5,29317773.05,875040177.3,896090787.2,578350652.5,29521049.65,329125354.6,32957496.45,46857304.96,144363943.3,686622865.2,208056177.3,659647404.3,1566765986,1435337404,674309432.6,351793971.6,329553404.3,743570503.5
20171115-PMF-CPEEB-AW-48__GC-MS-AA__1__073,14-Synechocystis_6803-cell-730a-2,14,730a,0.5,2,73,1794363905,823944664.2,41062430.66,987888496.4,963142627.7,658262605.8,15508970.8,389183788.3,49202510.95,540151839.4,197722795.6,454741941.6,360721007.3,740392277.4,1602635745,1223504701,776041510.9,419190518.2,357792664.2,774790540.1
