,VarImp,STD
hi_Inosine.monophosphate,12.825111503809458,0.8590024059025528
hi_Inosine,10.079576515711706,0.6974145604258921
NA_C153,8.352986469451313,0.7861572313791995
NA_C297,4.861046382928338,0.5918548671239285
AA_alanine.2tms,4.727095591016082,0.6885346611680806
NA_C769,4.256945140010355,0.633132267282565
NA_C614,3.7670960674349967,0.17906453548448772
hi_cyclic.GMP,3.402371586120759,0.5376695008818407
hi_Alanine,3.177804555835212,0.5241356237724952
hi_X2.methylglutarate,2.2119788462276504,0.5263585657042568
hi_Arginosuccinate,2.072149057324304,0.2050252269158234
NA_C678,1.839242464286613,0.41950874996790954
hi_Glutamine,1.815913125662629,0.43967366781891654
hi_Thiamine.pyrophosphate,1.8122268884764456,0.4174596893533255
NA_C417,1.7665882379736098,0.35172474470285964
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP",1.650002298722886,0.40725132205615683
NA_Glycerol-3-phosphate (4TMS),1.6317003767307465,0.3607062332832612
NA_C780,1.5891298139270194,0.3259561596145458
NA_C392,1.4119949212059835,0.32711148645203975
hi_UDP.glucose,1.1219840655698319,0.15652556855999775
NA_C593,1.0832484556193651,0.3085233352393895
hi_Arginine,1.070759594603865,0.20221416614670318
hi_Threonine,1.019083094648196,0.1546974039718612
NA_C507,0.8883607189530185,0.2570321921938478
hi_Dihydroxyacetone.phosphate,0.861006997535916,0.156369992661222
hi_CTP,0.8530799062495532,0.12997928303631592
NA_C115,0.8464889812869747,0.27720233584520426
NA_C819,0.8255564529646974,0.2351102838569443
hi_Glutamate.1,0.6538251196722675,0.2862125632351752
hi_Trehalose,0.6341342689199743,0.3350663556730081
NA_C158,0.6218432228272592,0.3101348353517661
hi_CMP,0.6066529111201755,0.13668893455664383
hi_Hypoxanthine,0.5920751524934013,0.21805873149672148
NA_Hydroxylamine (3TMS),0.5759005559468136,0.21326929187913807
hi_Acetyl.CoA,0.5477282829581857,0.230248691652215
AA_Glycine.2tms,0.5361176928603673,0.23777173465605542
hi_Maltotetraose,0.4983691419936771,0.07663458127903602
hi_Lysine,0.47596686313731,0.07818025020842867
NA_NA_5,0.4733847887526976,0.2891753078861791
NA_C011,0.45299352270330573,0.0
hi_Glutathione,0.43687225927918766,0.15993533823424852
hi_Betaine,0.42143769808848786,0.10767825695848031
hi_S.adenosylmethionine,0.41952842607447827,0.14917236367815598
hi_NADH,0.4088954447982319,0.13825170541670706
NA_C683,0.40875910130182014,0.221473482489658
AA_aspartic.acid.3tms,0.4077676343184681,0.16259035891928073
AA_glutamic.acid.3tms,0.40229897252977653,0.15298457978436059
NA_C459,0.3816895920527771,0.10240865083898054
hi_Sucrose,0.37771073748207185,0.15959391686261587
NA_C152,0.371594999084221,0.15066275137196466
AA_leucine.2tms,0.3667702503356078,0.19142112918111537
NA_C438,0.360879260864783,0.16809040545072035
NA_C571,0.35997400752024644,0.16656319211228143
hi_Serine,0.3587805744351573,0.08798309655149845
NA_C725,0.3575464501763906,0.3119806069032876
NA_Glycine (3TMS),0.3457158825868177,0.16814907083047057
NA_C493,0.3450007841944143,0.2175923602142348
NA_C391,0.3359651517817966,0.3119981695363268
hi_Hydroxyproline,0.33332159083621904,0.16469969885033645
hi_NAD,0.33073398312694857,0.13698941079748836
AA_arginine.3tms.,0.3247773103469145,0.15950210057365286
NA_C169,0.3225775539647621,0.16122958698144005
NA_C180,0.3213620571764608,0.14528896758088267
NA_C456,0.31711532668878856,0.08838261073262021
NA_C049,0.3168131033419254,0.1223700297669911
NA_C856,0.31635728596108553,0.15944693789230444
NA_Sarcosineamide (2TMS),0.3143803613046869,0.14952576274292223
NA_C852,0.3121450003008699,0.13905959962133815
NA_C826,0.3086591615393757,0.17194867633645766
NA_C607,0.3080003540484174,0.14424850219656554
NA_C682,0.30640121277430693,0.15376937648661224
NA_C362,0.3049341094053708,0.1672444463032964
NA_C692,0.3034263539809186,0.28414860374989515
hi_GDP,0.2999864219876497,0.12386293972225944
hi_Dihydroorotate,0.29971045393602996,0.15501006711643142
NA_C775,0.29966757293449403,0.1467257643469116
NA_C799,0.29107390105486786,0.12213256553252959
hi_Adenosine,0.28972079505951537,0.16292950236037887
hi_NADP,0.2889888351005934,0.13984944730008597
NA_C596,0.28840540600717685,0.11988158982874648
NA_C793,0.28761734886151785,0.07529510392487619
NA_C845,0.2867811882863369,0.12538752367918732
AA_tyrosine.3tms,0.2866297615696151,0.14184940928585485
hi_Methionine.SO,0.2866266889625867,0.15197989316334243
NA_C729,0.2857163145047073,0.15959961637927353
NA_C700,0.28542617900043094,0.12218565786527255
AA_Proline.2tms,0.28493255809498197,0.13987130329244046
NA_C506,0.2846338952131654,0.14825413066331525
NA_C414,0.28384590877330834,0.15205274060376153
NA_C604,0.28177271139678606,0.011409190207259556
NA_C857,0.280693667701534,0.14666291352651772
NA_Alanine (2TMS),0.28004020801083584,0.09687058606739427
NA_C142,0.27952275643337865,0.1033394093965519
NA_C566,0.2785569890053083,0.11477097062360625
hi_FAD,0.27807753293817256,0.11636255795915733
NA_C613,0.2780294487802128,0.14623287539983845
NA_C509,0.2777081990342969,0.13099992082616757
NA_C196,0.27633967358923567,0.10339495368039038
NA_C835,0.27595603915503947,0.0
hi_Ornithine,0.275724659275526,0.06686427372074476
