,VarImp,STD
hi_Serine,0.01563207156777642,0.0007591137606425349
hi_Tyrosine,0.014504841324550655,0.0008582389171137269
hi_Tryptophan,0.01283668534688181,0.00067833534473564
hi_Methionine,0.012208983311206432,0.0006692384754281213
hi_Valine,0.0121894095094635,0.000712087945680581
hi_UDP.glucose,0.011278863379119009,0.0006561827243445363
hi_Isoleucine,0.010261847469022327,0.0006681869398731395
hi_Phenylalanine,0.009588128382863565,0.0006851816484473753
hi_Threonine,0.009575857523999184,0.0006253263684709305
hi_Leucine,0.007727768841911766,0.0005481260600190017
hi_X2.3phosphoglycerate,0.007042236328124998,0.0005000219093995946
hi_Aspartic.acid,0.006844179240706702,0.0005618542897111092
hi_CMP,0.006528572963473584,0.0004659963477412653
hi_Proline,0.006304351873127725,0.000453589730496506
hi_CTP,0.0050154250068082775,0.0004192654988062693
hi_Arginosuccinate,0.003751909509463507,0.00039700242358545884
hi_Gln.6.P,0.0036843160658360553,0.00039070557546518205
hi_Citrulline,0.00360023116234341,0.00034469720958935036
hi_Kynurenine,0.003522002442470044,0.0003176029153762931
hi_GMP,0.00329186931934232,0.0003625869146484591
hi_Arginine,0.0031029608566516876,0.00031130197074854773
hi_Phosphoenolpyruvate,0.0029609098413671004,0.00031494758092986665
NA_Glycerol-3-phosphate (4TMS),0.00295743921483524,0.0003395516124070384
NA_C417,0.002858785658360567,0.00029319495308189686
hi_Malate,0.002232892071759259,0.00030259080377271287
hi_Glutathione,0.0021307599103009265,0.00027641890244019143
hi_S.adenosylmethionine,0.0019162172138820802,0.00024648208511352063
hi_CySSG,0.0018666178385416668,0.00025129669497628564
hi_Fumarate,0.0018069932725694442,0.0002403622148434686
hi_Hypoxanthine,0.0016279823452818626,0.00022553870894592473
hi_Inosine,0.0015018499370234202,0.00020871011510734485
hi_Inosine.monophosphate,0.0014627799904684098,0.0001982498282236007
NA_C819,0.0014034958384395422,0.0002104861963588521
NA_C287,0.0013589436317061549,0.0002369903936943428
hi_totalSignal,0.0012192026441653044,0.0001986524215914326
AA_Methionine.2tms,0.0011780638850592314,0.00018071149067192032
NA_C507,0.0011242630570023153,0.00020363859970152262
hi_Asparagine,0.0010778244783156315,0.0001886102414092737
hi_Glycerol.3.P,0.0010655419177219498,0.00016895031334141663
NA_C152,0.0010302003016918568,0.00017111558384367485
hi_UMP,0.0010115251395697166,0.00014910941297604987
hi_GSSG,0.0010022387535743463,0.00017823571500126607
hi_AMP,0.0009942286539181644,0.00018134203171439307
hi_X6.phosphogluconate,0.0009520955137697437,0.00017455424559894986
hi_Ornithine,0.0009456739238664217,0.00018269634621005562
NA_C153,0.0008985287202988831,0.00016269166046714616
hi_Cytidine,0.000866992293879357,0.000151021380789558
hi_Glycerophosphocholine,0.0008537860945159309,0.00017496551423014034
AA_isoleucine.2tms,0.0008365728946871832,0.0001533533584879229
AA_aspartic.acid.2tms,0.0008359111711090686,0.0001681972377574569
hi_Glutamine,0.0008342266539862473,0.00014480595378855147
NA_C105,0.0008312908496732034,0.0
NA_C169,0.0007843161378724715,0.00014908903885690685
NA_N-Carboxyglycine (3TMS),0.0007734058521412036,0.0001570431755981834
NA_C492,0.0007679738562091509,0.0
hi_GTP,0.0007429934640522873,0.000183299697434308
AA_Proline.2tms,0.0007340545321861381,0.00015268165279397051
NA_C736,0.0007332516339869288,0.0
NA_C536,0.0007312091503267979,0.0
NA_C444,0.0007189542483660123,0.0
AA_lysine.3tms,0.0006908480548412442,0.00013366379400062584
NA_C836,0.0006808278867102396,9.710333839533399e-05
hi_Dihydroxyacetone.phosphate,0.0006783564261296206,0.00015482490406889277
hi_GDP,0.0006708259576978936,0.0001250710657749207
AA_arginine.3tms.,0.000662779908110197,0.00012573702064397273
AA_valine.2tms,0.0006573719235811083,0.0001228790365248096
NA_C852,0.0006556372549019605,0.0
AA_aspartic.acid.3tms,0.0006549558297978059,0.00014999217156737014
NA_C251,0.00064691027926322,0.0002237515038332479
NA_C745,0.0006468586484926355,0.000135491475556947
NA_C844,0.000625,0.0
NA_C011,0.0006233951914098969,6.368736258198542e-05
NA_C637,0.000616530913712286,0.00015578312974630438
NA_C749,0.0006165154210697776,0.00015144599574537382
NA_C627,0.0006155221591560596,0.000156259709874602
AA_tyrosine.3tms,0.0006151948839964833,0.0001540861888384306
NA_C333,0.0006127450980392154,0.00015386107725300131
NA_C138,0.0006035539215686273,0.00013786764705882383
NA_C804,0.0006031964869281042,0.0001302904339822799
NA_C517,0.0006030345720909444,0.000133856657444419
NA_C419,0.0006027647801544857,0.00017851307642490868
AA_Glycine.2tms,0.0006010454229584554,0.0001097599070341154
NA_C146,0.0006010318982665526,0.0001717878810618755
NA_C082,0.0006004901960784317,0.00013276143790849634
NA_C795,0.000600189830834294,0.000110304554681871
NA_C803,0.0005994689542483656,7.659313725490147e-05
NA_C319,0.0005984477124183007,0.00012340838845721334
AA_leucine.2tms,0.0005972569956895542,0.0001151827477204079
NA_C739,0.00059640522875817,0.0
NA_C741,0.0005964052287581696,0.0
AA_Threonine.3tms,0.0005951696272568429,0.00011530241941672629
AA_Phenylalanine.2tms,0.0005949830549503752,0.00011268087695461767
NA_NA_6,0.0005947712418300655,0.00011756902141303465
hi_Flavin.mononucleotide,0.0005941499863834419,0.0001489713548052807
NA_C478,0.0005932914423939508,0.00018637259034756526
NA_C233,0.0005927427752146607,0.00014782703108180264
NA_C177,0.0005923202614379087,0.0
NA_C121,0.0005923202614379083,0.0
NA_C628,0.0005923202614379077,0.00013071895424836608
NA_C465,0.000589982752360203,0.00011284551015586778
