,VarImp,STD
hi_Inosine.monophosphate,6.050017542082158,0.48645410128684446
hi_Inosine,4.612902927511341,0.37872305114767396
NA_C153,3.665832555023909,0.4016168748069622
NA_C297,3.3225069121958026,0.37102491957033995
hi_Alanine,2.923388815832496,0.31997759611478466
AA_alanine.2tms,2.7888284767551634,0.3407035617249918
NA_C769,2.7314994210379187,0.29869797451303337
hi_cyclic.GMP,2.531696356209299,0.3185464958693264
hi_Thiamine.pyrophosphate,1.9780797510315624,0.2623408884350666
hi_X2.methylglutarate,1.9498196919513475,0.2888845489983927
NA_C614,1.7606914786634997,0.1509432784738722
NA_C678,1.7273006934654214,0.24550647305348894
hi_Glutamine,1.6432338140071665,0.2738069717744146
NA_C780,1.5820626065921162,0.20611735595584038
"NA_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP",1.5094414765641695,0.19485503190752518
NA_C392,1.472354639314583,0.21835883176800164
hi_Arginosuccinate,1.445962529791022,0.1873882963060598
NA_C417,1.3465587312805947,0.2117043107043862
hi_Arginine,1.3191452111601798,0.18374839955273214
NA_C593,1.1973766360254967,0.19432379007829265
hi_Trehalose,1.1763878272853268,0.2653311811843202
NA_Glycerol-3-phosphate (4TMS),1.1691773274932025,0.22858470708270964
hi_Threonine,1.1428131827813144,0.15225152446189036
hi_UDP.glucose,1.0492464003491593,0.1311213375550981
NA_C507,0.9843497823743191,0.15173898801742822
NA_C115,0.8507782420115311,0.1524103802591906
hi_CMP,0.8136607036204395,0.13708672192613397
hi_Sucrose,0.7948577094862932,0.16688441067871107
NA_C819,0.791519815544511,0.1399964584418404
hi_CTP,0.7763439188631563,0.10330916068324474
hi_Hypoxanthine,0.7731138562571688,0.16150593796640964
NA_Hydroxylamine (3TMS),0.7604549858487746,0.16574475071242337
hi_Acetyl.CoA,0.7538943041810641,0.16905935983414977
hi_Glutamate.1,0.7051667016747837,0.14207083844672605
hi_Dihydroxyacetone.phosphate,0.6477922797026828,0.11499232945205183
hi_Glutathione,0.6058569077257624,0.12072363345535705
hi_S.adenosylmethionine,0.6034405229318878,0.12691972828133605
NA_C158,0.6019506969526146,0.13014278118379996
AA_Glycine.2tms,0.5571542980353292,0.10828222438066014
hi_NADH,0.5482518280750313,0.12466333022147068
AA_glutamic.acid.3tms,0.5302499608091243,0.10565760124105758
NA_C152,0.5091571047477567,0.1110214873468118
hi_Serine,0.5075008583236175,0.09220946140792396
hi_GDP,0.49322230806212647,0.11786359039045823
AA_aspartic.acid.3tms,0.4829423297147398,0.10819950415554397
NA_C180,0.4596077807416065,0.09485629452000975
AA_leucine.2tms,0.4362602425786446,0.10277414069084191
NA_C793,0.4346498512107389,0.0
NA_C683,0.4343327906397773,0.10935642629447272
hi_Hydroxyproline,0.4341404639061009,0.09747870508774746
hi_Lysine,0.43400111628872023,0.07370779344667289
hi_NAD,0.42155599610012917,0.11012435714518874
NA_C571,0.4105288505585114,0.0905309026173046
NA_C196,0.4025971308377925,0.09707096889767525
NA_C493,0.3751432271404285,0.08968477081693914
NA_C438,0.3740051791515926,0.08955267215804286
NA_C725,0.3720555486033938,0.12485161990963389
AA_arginine.3tms.,0.3652297918785485,0.08393549464954966
NA_C391,0.3638619298556103,0.09167623363370633
NA_C775,0.361358683817856,0.121644618156896
NA_C011,0.35729265807499694,0.1731918455115733
NA_C479,0.34916942664126804,0.10283533951818342
NA_C814,0.34822318237190725,0.12959828514885835
NA_Glycine (3TMS),0.3471579513739452,0.09540454529632997
NA_C169,0.3409135977576733,0.07416776349139913
NA_C631,0.3401733297022511,0.0
NA_C639,0.3398735952605869,0.08326202644750563
NA_C674,0.3393756865014523,0.0
NA_C799,0.3379967414634919,0.07500289749674366
hi_Betaine,0.3376623654072612,0.06110106396248643
NA_C240,0.3375805024832982,0.0799060209801522
hi_Glutamate,0.33729940134732794,0.08398803700797906
NA_C823,0.3351230976534133,0.0773946091446065
NA_C176,0.3317693319783117,0.1547110965410153
NA_C826,0.331767815828062,0.06735602010219831
NA_C845,0.3314411388913983,0.09951894712260877
NA_C612,0.33071462567231735,0.02412894734082124
NA_C547,0.3303005185288054,0.12969028066528873
NA_C852,0.3295806151031946,0.0813851353241208
NA_C729,0.32943857044469704,0.0860874666127172
NA_C281,0.328728458825945,0.10982240246222058
NA_C857,0.32691327176958984,0.08225490842317756
NA_C506,0.3262707069200867,0.07749838690367426
NA_C754,0.32511930531088307,0.11351897224069009
NA_Uracil (2TMS),0.3249945843545751,0.0950662367118198
NA_C049,0.32483756536964475,0.07672804236265038
NA_NA_5,0.32347194695499704,0.09681783468174039
NA_C566,0.3232020176761403,0.07024721235683004
NA_C791,0.322017645591675,0.0847861896907929
AA_tyrosine.3tms,0.3217844768116642,0.06871719030563442
NA_C500,0.3213042204237022,0.06671569322352211
NA_C003,0.320924003485461,0.05866407356797399
hi_Adenosine,0.32062781260566303,0.06561595252352152
NA_C414,0.31936526284871025,0.11676268869495099
NA_C458,0.3193019847749353,0.1299682573989722
NA_C444,0.31901013906855186,0.07506677188526027
NA_C596,0.3189313971699308,0.10222174630271484
NA_C362,0.3187137153290902,0.10589354146270963
hi_NADP,0.31852456129445855,0.08122865661389268
hi_Methionine.SO,0.3181466601684236,0.06576180665138585
