,0,1
0,hi_NADP,1
1,hi_Citrulline,1
2,NA_Aspartic acid (2TMS),1
3,NA_C259,1
4,NA_Lyxose (1MEOX) (4TMS) MP,1
5,NA_C049,1
6,NA_C138,1
7,NA_C149,1
8,NA_C096,1
9,NA_C019,1
10,NA_Isoleucine (1TMS),1
11,NA_Glutamic acid (3TMS),2
12,NA_C044,2
13,NA_C159,2
14,NA_Cytosine (2TMS),2
15,hi_Glutamate,2
16,NA_C789,3
17,hi_UDP.glucose,3
18,NA_C756,3
19,NA_Methionine (2TMS),3
20,NA_Sarcosineamide (2TMS),3
21,NA_C180,3
22,NA_1-Pyrroline-3-hydroxy-5-carboxylic-acid-2TMS,3
23,NA_C018,3
24,AA_Proline.2tms,4
25,AA_tyrosine.3tms,4
26,NA_Lactic acid (2TMS),6
27,AA_alanine.2tms,6
28,NA_C838,7
29,NA_C242,7
30,AA_histidine.3tms,7
31,NA_C211,8
32,hi_GSSG,8
33,NA_Tyrosine (3TMS),9
34,NA_Levulinic acid (1MEOX) (1TMS) MP,11
35,NA_C680,11
36,NA_C199,12
37,NA_C007,12
38,NA_Isomaltose (1MEOX) (8TMS) MP,12
39,NA_C156,13
40,NA_C573,13
41,NA_C158,15
42,NA_C335,15
43,NA_Glycerol-3-phosphate (4TMS),15
44,NA_C195,15
45,NA_Phenylalanine (2TMS),16
46,NA_C032,16
47,NA_Threonine (2TMS),16
48,NA_C054,17
49,NA_Hydroxylamine (3TMS),19
