,0,1
0,hi_Pipecolate,1
1,NA_C152,1
2,NA_C682,1
3,hi_Arginine,1
4,NA_C145,1
5,NA_C583,1
6,hi_ATP,1
7,AA_leucine.2tms,1
8,NA_Proline [+CO2] (2TMS),1
9,NA_C416,1
10,NA_C313,1
11,NA_C577,1
12,NA_C056,1
13,NA_D223156,1
14,NA_C386,1
15,NA_C321,1
16,NA_C069,1
17,NA_C774,1
18,NA_C049,1
19,NA_C556,1
20,hi_Glutamate,2
21,NA_C157,2
22,NA_C196,2
23,hi_Adenosine,2
24,NA_Citric acid (4TMS),2
25,NA_C565,2
26,AA_alanine.2tms,2
27,NA_C088,2
28,NA_C366,2
29,AA_glutamic.acid.3tms,2
30,NA_C050,2
31,NA_C777,2
32,AA_tyrosine.3tms,2
33,NA_C238,2
34,hi_FAD,2
35,NA_C136,3
36,NA_Xanthine (3TMS),3
37,NA_C011,3
38,NA_C296,3
39,NA_C131,3
40,"NA_Benzimidazole, 5,6-dimethyl-",3
41,NA_C456,3
42,"NA_Glucose, 1,6-anhydro-, beta- (3TMS)",3
43,NA_C174,3
44,NA_C175,3
45,NA_Unknown#sst-cgl-008,3
46,NA_C190,4
47,NA_Unknown#bth-pae-011,4
48,hi_GDP,4
49,NA_C656,4
50,NA_C657,4
51,NA_C067,4
52,NA_C529,5
53,NA_C378,5
54,hi_Inosine,5
55,hi_Citrulline,5
56,NA_C117,5
57,NA_C591,5
58,NA_C568,6
59,AA_arginine.3tms.,6
60,NA_C573,6
61,NA_C666,6
62,NA_C719,7
63,hi_Tryptophan,7
64,NA_NA_2,7
65,hi_Glutamate.1,7
66,NA_C784,7
67,NA_C820,7
68,NA_C198,7
69,NA_Uridine (4TMS),8
70,NA_C679,8
71,NA_Glycine (2TMS),8
72,hi_Ribose.5.P,8
73,NA_C181,8
74,NA_C391,8
