,0,1
0,EI_Guanosine (5TMS),1
1,EI_C0450,1
2,EI_C1156,1
3,EI_C1263,1
4,EI_C0188,2
5,EI_C0522,2
6,EI_C0062,2
7,EI_C0613,3
8,EI_Arginine [-NH3] (3TMS),3
9,EI_C0205,3
10,EI_Unknown#sst-cgl-008,4
11,EI_C0019,4
12,EI_C1151,4
13,EI_C1012,6
14,EI_C0052,6
15,EI_Threonine (3TMS),6
16,EI_C1140,7
17,EI_C0320,7
18,EI_C0310,8
19,EI_Nicotinic acid (1TMS),8
20,EI_C0719,9
21,EI_C0044,9
22,EI_Dihydroxyacetone phosphate (1MEOX) (3TMS) MP,10
23,EI_C0252,10
24,"EI_Glutamic acid, N-acetyl- (2TMS)",11
25,EI_C0015,11
26,EI_Threonine (2TMS),11
27,EI_C0175,12
28,EI_C0890,12
29,EI_C0143,12
30,EI_C0859,12
31,EI_C0405,14
32,EI_C0454,15
33,"EI_Homoserine, beta-, DL- (3TMS)",17
34,EI_C0531,21
35,EI_C0837,22
36,"EI_Glucose, 2-amino-2-deoxy- (5TMS) BP",27
37,EI_C0313,28
38,"EI_Benzoic acid, (1TMS)",29
39,EI_Dodecanoic acid (1TMS),29
40,EI_C0858,30
41,EI_Serine (4TMS),32
42,EI_C0610,36
43,EI_C0521,39
44,EI_C0835,47
45,EI_C0606,48
46,EI_C0627,50
47,EI_C0123,57
48,"EI_Homoserine, beta-, DL- (3TMS)_2",69
49,EI_C1152,70
50,EI_C1033,71
51,EI_Unknown#sst-cgl-122,72
52,EI_Ribose-5-phosphate (1 MEOX) (5TMS) MP,81
53,EI_C0403,91
54,EI_C0103,95
55,EI_C1160,102
56,EI_Adenosine-5-monophosphate (4TMS) (Derivate not found),109
57,EI_C0611,117
58,EI_C0404,118
59,EI_C1009,122
60,EI_C0165,124
61,EI_Glutamic acid (3TMS)_2,128
62,EI_Ornithine (3TMS),135
63,EI_C1244,135
64,EI_C0612,136
65,EI_Octadecanoic acid (1TMS),144
66,EI_O-Toluic-acid-1TMS,151
67,EI_C0984,158
68,EI_C0253,160
69,EI_C0045,162
70,EI_NA_7,163
71,EI_C0396,164
72,EI_NA_8,171
73,EI_Glucopyranose [-H20] (4TMS),176
74,EI_C0255,180
75,EI_C0740,192
76,EI_Galactose-1-5TMS,197
77,EI_C0400,200
78,EI_Adenosine (3TMS) (Derivate not found),207
79,EI_NA_3,220
80,EI_C0177,225
81,EI_C0614,225
82,EI_Aspartic acid (4TMS),232
83,EI_C0077,235
84,EI_C0208,240
85,EI_C0558,243
86,EI_Lactobionic acid (TMS) BP,250
87,EI_C1262,275
88,EI_C0390,292
89,EI_NA_6,293
90,EI_C0723,295
91,EI_C1261,297
92,EI_C0259,305
93,EI_C1239,311
94,EI_C0715,314
95,EI_C0389,314
96,EI_C1328,315
97,EI_C0281,334
98,EI_Glycine (3TMS),334
99,EI_C0852,337
