0,VarImp
EI_C0022,1
EI_C0037,1
EI_C0613,1
EI_C0062,1
EI_Guanosine (5TMS),1
EI_C0522,2
EI_C1140,2
EI_C0015,2
EI_C0450,2
EI_C0320,3
EI_Arginine [-NH3] (3TMS),3
EI_C0019,3
EI_Unknown#sst-cgl-008,3
EI_C0178,4
EI_C0205,4
EI_Threonine (3TMS),4
EI_C1156,5
EI_C0044,5
EI_C0052,7
EI_C0188,7
EI_C1012,8
EI_C0143,8
"EI_Glutamic acid, N-acetyl- (2TMS)",9
EI_C0310,10
EI_Nicotinic acid (1TMS),11
EI_C0175,12
EI_C0859,12
EI_Threonine (2TMS),13
EI_C0252,14
EI_C0405,14
EI_Dihydroxyacetone phosphate (1MEOX) (3TMS) MP,14
EI_C0454,14
"EI_Homoserine, beta-, DL- (3TMS)",15
EI_C0719,18
EI_C0890,19
EI_Dodecanoic acid (1TMS),20
EI_C0837,20
EI_C0531,23
EI_C0313,24
"EI_Benzoic acid, (1TMS)",24
EI_Serine (4TMS),26
"EI_Glucose, 2-amino-2-deoxy- (5TMS) BP",27
EI_C0606,29
EI_C0858,30
EI_C0521,38
EI_C0610,40
EI_C0627,40
EI_C0835,53
EI_Ribose-5-phosphate (1 MEOX) (5TMS) MP,56
EI_C1033,56
EI_Unknown#sst-cgl-122,61
"EI_Homoserine, beta-, DL- (3TMS)_2",70
EI_C1152,71
EI_C0123,76
EI_Adenosine-5-monophosphate (4TMS) (Derivate not found),92
EI_C0103,108
EI_C0404,113
EI_C1009,113
EI_C0403,115
EI_C0165,118
EI_C1160,120
EI_Glutamic acid (3TMS)_2,123
EI_C0611,128
EI_C0612,129
EI_Octadecanoic acid (1TMS),130
EI_C0984,133
EI_C1244,135
EI_Ornithine (3TMS),141
EI_C0045,153
EI_C0396,154
EI_O-Toluic-acid-1TMS,163
EI_C0253,175
EI_NA_7,176
EI_NA_8,185
EI_Glucopyranose [-H20] (4TMS),192
EI_C0255,194
EI_C0077,210
EI_NA_3,211
EI_C0740,213
EI_Adenosine (3TMS) (Derivate not found),216
EI_Galactose-1-5TMS,220
EI_C0177,222
EI_C0400,223
EI_C0558,232
EI_Lactobionic acid (TMS) BP,236
EI_C0614,240
EI_Aspartic acid (4TMS),241
EI_C0208,246
EI_C1262,250
EI_NA_6,285
EI_C0390,290
EI_C1261,294
EI_C1328,301
EI_C1239,304
EI_C0389,310
EI_C0723,310
EI_C0259,326
EI_Glycine (3TMS),326
EI_C0281,333
EI_C0715,336
