,0,1
0,NA_Lactic acid (2TMS),1
1,NA_C059,1
2,NA_Sarcosineamide (2TMS),1
3,NA_Methionine (2TMS),1
4,NA_C180,1
5,NA_C182,1
6,AA_tyrosine.3tms,1
7,NA_Glutamic acid (3TMS),1
8,NA_Aspartic acid (2TMS),1
9,NA_Phenylalanine (2TMS),1
10,AA_histidine.3tms,1
11,NA_C018,1
12,NA_C259,1
13,NA_Isomaltose (1MEOX) (8TMS) MP,2
14,NA_C015,2
15,NA_C158,2
16,NA_C195,2
17,NA_C335,2
18,NA_1-Pyrroline-3-hydroxy-5-carboxylic-acid-2TMS,2
19,NA_C838,2
20,NA_C019,2
21,AA_alanine.2tms,2
22,NA_C434,3
23,NA_C007,3
24,NA_C573,3
25,hi_GSSG,3
26,NA_Hydroxylamine (3TMS),4
27,NA_C199,4
28,NA_Threonine (2TMS),4
29,NA_Tyrosine (3TMS),4
30,NA_5-Hydroxymethylfurfural (1MEOX) (1TMS) MP,4
31,NA_Levulinic acid (1MEOX) (1TMS) MP,5
32,NA_C242,5
33,NA_C032,5
34,NA_C034,5
35,NA_C262,5
36,NA_NA114002 (classified unknown),6
37,NA_C211,6
38,"NA_Uridine, 2'-deoxy- (3TMS) BP",6
39,NA_C054,6
40,NA_Glycine (3TMS),6
41,NA_C680,6
42,NA_Glycerol-3-phosphate (4TMS),6
43,NA_Leucine (1TMS),6
44,AA_Phenylalanine.2tms,7
45,hi_S.adenosylmethionine,7
46,NA_C774,7
47,NA_C227,8
48,NA_C156,8
49,NA_C235,9
